Intensity(µW/cm2/nm),Mac,,,,,,iOS,,,,,,,,
Wavelength,Full Brightness White Screen,Minimum Brightness White Screen,Full Brightness (1200K),Minimum Brightness (1200K),"Black, max brightness","Black, min brightness",White,White Medium,White Darkest,Black: Bright,Black: Medium,"Black, Blackest",Red,Red (Med),Red (Dark)
228.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
